subject_id, task_round, task_class, task_index, mouse_distance, mouse_click, keyboard_press, success, start_time, end_time, duration
54,1,1,0,0,0,0,1,1678452610.587615,1678452611.333567,0.7459518909454346
54,1,1,1,0,0,0,1,1678452611.737375,1678452612.323966,0.5865910053253174
54,1,1,2,0,0,0,1,1678452621.215383,1678452622.3808372,1.1654541492462158
54,1,1,3,0,0,0,1,1678452622.747981,1678452623.150217,0.4022359848022461
54,1,1,4,0,0,0,1,1678452623.9641201,1678452624.203423,0.2393028736114502
54,1,1,5,5051.847742808099,1,0,1,1678452679.517157,1678452701.98638,22.469223022460938
